,name,value,description
0,dfs.namenode.decommission.interval,-1997789034,"Namenode periodicity in seconds to check if
    decommission or maintenance is complete. Support multiple time unit
    suffix(case insensitive), as described in dfs.heartbeat.interval.
    If no time unit is specified then seconds is assumed."
1,yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.interval-seconds,60,
2,yarn.dispatcher.drain-events.timeout,300000,
3,yarn.app.mapreduce.am.hard-kill-timeout-ms,10000,Number of milliseconds to wait before the job client kills the application.
4,dfs.namenode.safemode.min.datanodes,0,"Specifies the number of datanodes that must be considered alive
    before the name node exits safemode.
    Values less than or equal to 0 mean not to take the number of live
    datanodes into account when deciding whether to remain in safe mode
    during startup.
    Values greater than the number of datanodes in the cluster
    will make safe mode permanent."
5,yarn.app.mapreduce.shuffle.log.backups,0,"If yarn.app.mapreduce.shuffle.log.limit.kb and
    yarn.app.mapreduce.shuffle.log.backups are greater than zero
    then a ContainerRollngLogAppender is used instead of ContainerLogAppender
    for syslog.shuffle. See
    org.apache.log4j.RollingFileAppender.maxBackupIndex"
6,yarn.nodemanager.localizer.fetch.thread-count,4,
7,yarn.resourcemanager.submission-preprocessor.file-refresh-interval-ms,60000,
8,yarn.cluster.max-application-priority,0,
9,yarn.resourcemanager.zk-appid-node.split-index,0,
