0,1
f90d5f15,job_<*>_0070Job Transitioned from <*> to <*>
3592ea3d,Instantiated MRClientService at cf6e5ca2712c<*>
712872f9,Logging initialized @2241ms to org.eclipse.jetty.util.log.Slf4jLog
16a015cc,jetty-<*>.<*>.<*>.v20230217; built: <*>-<*>-17T08:<*>:<*>.309Z; git: b45c405e4544384de066f814ed42ae3dceacdd49; jvm <*>.<*>.<*>+<*>-post-Ubuntu-1ubuntu120.<*>
11ab4b15,node0 Scavenging every 660000ms
ca519185,"Started ServerConnector@7b5b5bfe{HTTP/<*>.<*>, (http/<*>.<*>)}{<*>}"
cdaa1ea7,Diagnostics report from attempt_<*>_<*>_m_<*>_<*>:
8b21ced7,Set historyUrl to http://cf6e5ca2712c:<*>/jobhistory/job/job_<*>_<*>
c0ef3cfb,KILLING attempt_<*>_<*>_r_<*>_<*>
9584a912,AsyncDispatcher thread interruptedjava.lang.InterruptedException at java.base/java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireInterruptibly(AbstractQueuedSynchronizer.java:<*>) at java.base/java.util.concurrent.locks.ReentrantLock.lockInterruptibly(ReentrantLock.java:<*>) at java.base/java.util.concurrent.LinkedBlockingQueue.put(LinkedBlockingQueue.java:<*>) at org.apache.hadoop.yarn.event.AsyncDispatcher$GenericEventHandler.handle(AsyncDispatcher.java:<*>) at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator.processFinishedContainer(RMContainerAllocator.java:<*>) at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator.getResources(RMContainerAllocator.java:<*>) at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator.heartbeat(RMContainerAllocator.java:<*>) at org.apache.hadoop.mapreduce.v2.app.rm.RMCommunicator$AllocatorRunnable.run(RMCommunicator.java:<*>) at java.base/java.lang.Thread.run(Thread.java:<*>)
d3fd8068,ERROR IN CONTACTING RM.org.apache.hadoop.yarn.exceptions.YarnRuntimeException: java.lang.InterruptedException at org.apache.hadoop.yarn.event.AsyncDispatcher$GenericEventHandler.handle(AsyncDispatcher.java:<*>) at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator.processFinishedContainer(RMContainerAllocator.java:<*>) at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator.getResources(RMContainerAllocator.java:<*>) at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator.heartbeat(RMContainerAllocator.java:<*>) at org.apache.hadoop.mapreduce.v2.app.rm.RMCommunicator$AllocatorRunnable.run(RMCommunicator.java:<*>) at java.base/java.lang.Thread.run(Thread.java:<*>) Caused by: java.lang.InterruptedException at java.base/java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireInterruptibly(AbstractQueuedSynchronizer.java:<*>) at java.base/java.util.concurrent.locks.ReentrantLock.lockInterruptibly(ReentrantLock.java:<*>) at java.base/java.util.concurrent.LinkedBlockingQueue.put(LinkedBlockingQueue.java:<*>) at org.apache.hadoop.yarn.event.AsyncDispatcher$GenericEventHandler.handle(AsyncDispatcher.java:<*>) ... <*> more
c2c7d257,History url is http://cf6e5ca2712c:<*>/jobhistory/job/job_<*>_<*>
02796010,"Stopped ServerConnector@7b5b5bfe{HTTP/<*>.<*>, (http/<*>.<*>)}{<*>}"
